order_id,order_date,category,region,sales,quantity,discount,lead_time,cost,profit,current_stock,safety_stock,restock_needed,inventory_turnover_proxy,risk_score
ORD-1000,2023-04-13,Furniture,Central,2054.3,11,0.3,1,1587.6223088265692,-149.61230882656912,80,2,No,25.36,-23.3
ORD-1001,2023-12-15,Furniture,West,4620.85,11,0.0,2,2573.9919529531376,2046.8580470468628,33,3,No,135.91,-8.5
ORD-1002,2023-09-28,Electronics,Central,2413.1,10,0.3,6,1801.0776243904068,-111.9076243904068,7,9,Yes,301.64,2.099999999999999
ORD-1003,2023-04-17,Office Supplies,East,165.67,9,0.3,4,109.90369892489576,6.06530107510423,94,6,No,1.74,-25.4
ORD-1004,2023-03-13,Office Supplies,North,1485.45,4,0.1,6,777.420590115854,559.4844098841461,61,9,No,23.96,-14.100000000000001
ORD-1005,2023-07-08,Technology,East,318.52,4,0.2,9,250.558807381056,4.257192618943982,34,14,No,9.1,-3.8999999999999995
ORD-1006,2023-01-21,Office Supplies,East,277.81,12,0.0,10,159.4874845406053,118.32251545939472,13,15,Yes,19.84,3.1
ORD-1007,2023-04-13,Electronics,South,1451.03,7,0.1,10,1099.7263556400978,206.20064435990213,30,15,No,46.81,-2.0
ORD-1008,2023-05-02,Furniture,South,1450.5,2,0.0,8,798.7076740171532,651.7923259828468,6,12,Yes,207.21,3.8
ORD-1009,2023-08-03,Office Supplies,South,3956.92,8,0.3,1,2992.1551007614225,-222.3111007614225,66,2,No,59.06,-19.1
ORD-1010,2023-11-27,Technology,South,4876.69,6,0.0,8,2457.698845882136,2418.991154117864,7,12,Yes,609.59,3.4999999999999996
ORD-1011,2023-03-29,Office Supplies,Central,1918.91,3,0.2,9,1254.073190774723,281.05480922527715,50,14,No,37.63,-8.7
ORD-1012,2023-04-10,Electronics,West,2201.55,9,0.3,6,1608.9648932176588,-67.8798932176586,72,9,No,30.16,-17.4
ORD-1013,2023-12-26,Technology,North,4239.47,5,0.3,10,3308.6462657635398,-341.0172657635392,29,15,No,141.32,-1.6999999999999993
ORD-1014,2023-06-01,Office Supplies,East,1413.88,8,0.1,5,1092.5908149018885,179.9011850981116,55,8,No,25.25,-13.0
ORD-1015,2023-05-11,Technology,Central,866.27,7,0.2,6,646.1399307229115,46.8760692770885,17,9,No,48.13,-0.9000000000000004
ORD-1016,2023-05-30,Electronics,North,4280.14,14,0.3,6,3280.5449970018003,-284.4469970018001,48,9,No,87.35,-10.2
ORD-1017,2023-11-05,Furniture,Central,327.85,8,0.2,9,183.5192522005057,78.76074779949435,39,14,No,8.2,-5.3999999999999995
ORD-1018,2023-09-15,Electronics,Central,3136.53,7,0.0,4,1835.6707707086127,1300.8592292913877,59,6,No,52.28,-14.899999999999999
ORD-1019,2023-12-10,Electronics,East,2853.76,3,0.2,2,1674.2740453036165,608.7339546963839,91,3,No,31.02,-25.900000000000002
ORD-1020,2023-10-21,Electronics,West,1795.01,2,0.3,11,1100.5496730062075,155.95732699379232,13,17,Yes,128.22,3.7999999999999994
ORD-1021,2023-07-11,Electronics,South,1644.43,7,0.1,11,1016.2514930004548,463.7355069995453,6,17,Yes,234.92,5.8999999999999995
ORD-1022,2023-10-04,Furniture,West,3882.1,3,0.3,9,2575.255467752575,142.21453224742504,65,14,No,58.82,-13.2
ORD-1023,2023-06-10,Furniture,East,523.48,3,0.2,2,286.84815755811945,131.93584244188054,45,3,No,11.38,-12.1
ORD-1024,2023-11-10,Technology,East,1260.24,2,0.2,10,891.4610086708966,116.7309913291034,48,15,No,25.72,-7.399999999999999
ORD-1025,2023-01-22,Office Supplies,East,3689.0,4,0.3,9,2029.9458890482967,552.3541109517028,68,14,No,53.46,-14.099999999999998
ORD-1026,2023-09-10,Furniture,North,2786.77,8,0.2,2,1652.8125106023472,576.6034893976528,35,3,No,77.41,-9.1
ORD-1027,2023-08-24,Furniture,West,727.14,12,0.0,8,473.3707134806877,253.7692865193123,51,12,No,13.98,-9.7
ORD-1028,2023-12-11,Office Supplies,West,4422.46,1,0.3,9,3267.897957714536,-172.17595771453557,6,14,Yes,631.78,4.5
ORD-1029,2023-02-18,Furniture,Central,2027.89,1,0.1,10,1463.813679017745,361.2873209822551,86,15,No,23.31,-18.8
